,Latitude,Longitude,Year,Accident_count
12295,36.922223,-81.878056,1974,1
20368,42.445277,-70.758333,1979,1
4485,30.757778,-88.35555500000002,1982,1
23745,46.041111,-120.849722,1983,1
24974,48.12,-113.8875,1983,1
14215,38.54,-173.24,1988,1
23800,46.154444,-85.663611,1989,1
27373,70.333333,-150.933333,1990,1
4097,30.383611,-103.783334,1992,1
13956,38.335,-80.28,1995,1
23672,45.928334,-84.825556,1997,1
3356,29.607222,-95.158611,1998,1
7986,33.948611,-118.41361100000002,1998,1
10366,35.389722,-83.920556,1998,1
24801,47.852222,-116.475278,1999,1
27161,64.8,-147.86611100000005,1999,1
7942,33.938611,-118.408889,1999,2
8687,34.294444,-119.335555,1999,1
19697,41.908889,-70.728611,1999,1
5942,32.784444,-88.92611099999998,1999,1
14995,38.981667,-119.672778,1999,1
6931,33.416389,-118.465278,1999,1
2359,27.988889,-82.01861099999998,2000,1
17472,40.5,-122.5,2000,1
18934,41.411111,-70.416667,2000,1
15442,39.235277,-78.011667,2000,1
15453,39.24,-106.711667,2000,1
7659,33.817778000000004,-118.151667,2000,1
6226,32.960833,-109.225556,2000,1
11904,36.575,-119.091666,2000,1
4486,30.757778,-81.56222199999998,2000,1
12839,37.486389,-120.350556,2000,1
23606,45.816667,-119.25,2000,1
9374,34.7925,-116.485833,2000,1
26192,60.8,-148.25,2000,1
13658,38.133333,-78.45,2000,1
27162,64.8,-147.86611100000005,2000,1
16257,39.755556,-82.656944,2000,1
9090,34.6,-112.25,2000,1
7028,33.460833,-111.728334,2000,1
12889,37.513889,-122.501111,2000,1
8292,34.118056,-117.38361100000002,2000,1
8616,34.265278,-110.005556,2000,1
10432,35.438055,-83.060556,2000,1
4278,30.527778,-89.706944,2000,1
13971,38.344444,-121.810556,2000,1
17687,40.631945,-73.779445,2000,1
14166,38.513056,-122.862222,2000,1
18762,41.296944,-75.851111,2000,1
1086,20.871667,-156.58166699999995,2000,1
26310,61.179445,-149.98333300000004,2000,1
11942,36.61277800000001,-121.871111,2000,1
4354,30.609444,-81.46055600000003,2000,1
1110,21.127223,-157.149722,2000,1
26161,60.76666700000001,-161.841111,2000,1
13282,37.83194500000001,-121.403056,2000,1
20142,42.236389,-83.5275,2000,1
10438,35.443333,-115.463333,2000,1
9376,34.793889,-118.852222,2000,1
1199,21.976111,-159.338889,2000,1
18975,41.4375,-71.541944,2000,1
6838,33.354167,-117.250833,2000,1
2788,28.814444,-82.316389,2000,1
4707,31.228889,-121.374167,2000,1
9277,34.726667,-118.235833,2000,1
15355,39.192222,-119.734444,2000,1
16832,40.083889,-86.034722,2000,1
2738,28.738055,-92.63,2000,1
17244,40.354167,-79.925,2000,1
1542,26.148611,-80.635,2000,1
7575,33.7825,-83.692777,2000,1
14772,38.893889,-119.995277,2000,1
7946,33.938889,-81.119445,2000,1
12730,37.3575,-78.437777,2000,1
16979,40.163611,-105.163056,2000,1
569,1.483333,-75.533333,2000,1
12705,37.333333,-79.2,2000,1
4976,31.785277,-92.168056,2000,1
10727,35.666667,-117.666667,2000,1
6442,33.13,-115.521667,2000,1
13468,37.989722,-122.056944,2000,1
23106,45.18333300000001,-123.133333,2000,1
2593,28.428889,-81.31611099999998,2000,1
6460,33.145277,-90.515278,2000,1
1415,25.815,-80.296666,2000,1
13639,38.116667,-83.75,2000,1
22849,44.883333,-70.638889,2000,1
16796,40.066667,-75.0,2000,1
18966,41.43333300000001,-82.652222,2000,1
22613,44.633333,-117.003056,2000,1
8003,33.963611,-112.1425,2000,1
9766,35.038611,-106.603889,2000,1
9328,34.747777,-90.081111,2000,1
20074,42.1925,-71.175834,2000,1
5219,32.115833,-110.940833,2000,1
16569,39.934166,-74.807222,2000,1
12591,37.231389,-121.665833,2000,1
24723,47.71833400000001,-122.198333,2000,1
19823,41.982223,-114.66361100000002,2000,1
8361,34.149165999999994,-117.783333,2000,1
10705,35.651111,-112.147777,2000,1
17314,40.403611,-76.225,2000,1
5141,32.0,-115.0,2000,1
4642,31.085833,-97.686389,2000,1
2489,28.22,-82.623334,2000,1
13363,37.894444,-121.238611,2000,1
19855,42.0,-122.5,2000,1
9796,35.043611,-116.193333,2000,1
4688,31.167223,-84.719167,2000,1
26255,61.040277,-157.173056,2000,1
11132,35.966667,-115.116667,2000,1
5437,32.343889000000004,-86.98777700000002,2000,1
6679,33.266667,-111.8,2000,1
15131,39.0625,-78.091111,2000,1
3927,30.227778000000004,-85.719723,2000,1
12288,36.916667,-121.833333,2000,1
21282,43.2,-70.233333,2000,1
23905,46.363056,-115.316389,2000,1
3723,30.0,-99.383611,2000,1
7702,33.833333,-116.516667,2000,2
18022,40.820556,-76.863889,2000,1
3323,29.553611,-98.483056,2000,1
26042,60.36305600000001,-152.616945,2000,1
12146,36.776111,-119.719167,2000,1
13044,37.65,-97.433056,2000,1
20827,42.785,-104.217223,2000,1
14437,38.695555,-121.590833,2000,1
27368,70.205556,-151.01916699999995,2000,1
18566,41.153889,-75.758889,2000,1
376,-13.673611,-64.201389,2000,1
18458,41.078056,-74.346666,2000,1
15931,39.566667,-117.815556,2000,1
14327,38.61277800000001,-119.392222,2000,1
2084,27.459722,-81.81277800000002,2000,1
15834,39.505278,-84.121945,2000,1
3856,30.166667,-85.233333,2000,1
10927,35.849722,-78.751111,2000,1
12271,36.895555,-121.794166,2000,1
15632,39.366667,-121.25,2000,1
2100,27.485277000000004,-82.534166,2000,1
18353,41.011667,-105.108889,2000,1
2071,27.435,-82.45,2000,2
18341,41.0,-124.0,2000,1
8254,34.1,-117.233333,2000,1
18013,40.816667,-115.791666,2000,1
10641,35.616667,-119.35,2000,1
13007,37.620278000000006,-122.38,2000,1
25713,58.358333,-134.582778,2000,1
17847,40.746111,-77.290277,2000,1
10808,35.732778,-78.849722,2000,1
7120,33.525,-117.083333,2000,1
16104,39.667223,-119.876111,2000,1
10350,35.37944500000001,-97.596111,2000,1
12198,36.82833400000001,-121.576389,2000,1
21586,43.536389,-112.063056,2000,1
7349,33.642777,-111.8175,2000,1
1030,19.716667,-155.033333,2000,1
13858,38.272223,-122.53416599999998,2000,1
13818,38.255,-120.933333,2000,1
10905,35.824723,-81.611111,2000,1
7455,33.691666,-112.082223,2000,1
3196,29.4325,-94.543055,2000,1
10594,35.585,-83.408889,2000,1
2220,27.784444,-81.636944,2000,1
9673,34.985277,-81.05888900000002,2000,1
15790,39.485277,-79.685277,2000,1
7734,33.866667,-117.966667,2000,1
17267,40.369445,-74.79333299999998,2001,1
1907,26.9225,-81.995277,2001,1
1525,26.081945,-80.1325,2001,1
5885,32.733611,-117.19388899999998,2001,2
10179,35.236944,-120.642222,2001,1
13097,37.679167,-121.299722,2001,1
11417,36.1525,-119.183611,2001,1
17287,40.380556,-75.997222,2001,1
17295,40.389166,-75.290277,2001,1
24759,47.791666,-118.766667,2001,1
1957,27.083056,-80.341111,2001,1
13422,37.951111,-78.883889,2001,1
11424,36.158889,-81.1125,2001,1
6438,33.128334,-117.28,2001,1
17266,40.368889,-74.24805500000002,2001,1
1939,27.071389,-82.44027700000002,2001,1
13116,37.691666,-85.917778,2001,1
1518,26.072778,-80.152778,2001,1
6413,33.114444,-116.724723,2001,1
18072,40.841666,-72.636666,2001,2
13104,37.68333300000001,-121.822778,2001,1
1551,26.1525,-81.77555600000002,2001,3
17179,40.306667,-100.161944,2001,1
17252,40.355833,-104.757778,2001,1
1561,26.154167,-81.781389,2001,1
17172,40.3,-79.5,2001,1
18056,40.830834,-72.860556,2001,1
11404,36.138889,-95.824723,2001,1
24291,47.050833,-121.910556,2001,1
5845,32.697222,-95.8725,2001,1
17258,40.359722,-74.2525,2001,1
18042,40.825,-155.791666,2001,1
10182,35.236944,-79.391389,2001,1
1505,26.067223,-80.15,2001,1
13393,37.925,-76.87138900000002,2001,1
1947,27.071667,-82.44027700000002,2001,1
11247,36.033333,-114.933333,2001,1
17316,40.405556,-78.810833,2001,1
24504,47.387222,-117.239722,2001,1
13350,37.884722,-112.651389,2001,1
5988,32.815556,-117.139444,2001,1
1662,26.333333000000003,-80.716667,2001,1
6213,32.958056,-112.678056,2001,1
24646,47.569445,-117.092222,2001,1
13167,37.724445,-122.223334,2001,1
1672,26.378334,-80.1075,2001,1
17845,40.745555,-122.921945,2001,1
6193,32.954722,-111.766945,2001,1
8903,34.475,-119.398333,2001,1
6027,32.826111,-116.9725,2001,1
11307,36.066667,-115.153889,2001,2
11348,36.091666,-80.291666,2001,1
6163,32.931111,-97.411667,2001,1
8848,34.431945,-116.921111,2001,1
24561,47.47638900000001,-112.863333,2001,1
17789,40.715556,-88.763889,2001,1
6116,32.896389,-97.0375,2001,2
6042,32.826945,-108.795555,2001,1
6115,32.896389,-97.879167,2001,1
6106,32.891110999999995,-97.035833,2001,1
17702,40.638333,-73.761667,2001,1
6051,32.832223,-117.139444,2001,1
11333,36.080834,-115.151944,2001,1
17755,40.68333300000001,-112.35,2001,1
6063,32.838333,-116.908889,2001,1
6066,32.839721999999995,-105.990555,2001,1
8887,34.457221999999994,-97.960833,2001,1
11336,36.083333,-114.933333,2001,1
24555,47.466667,-122.702222,2001,1
1902,26.92,-81.990277,2001,1
1660,26.305556,-80.216667,2001,1
17874,40.757778,-122.323334,2001,1
1606,26.197222,-80.170556,2001,1
18006,40.809444,-73.086389,2001,1
13346,37.883333,-121.24138899999998,2001,1
24321,47.116667,-122.283333,2001,1
10159,35.22638900000001,-84.584722,2001,1
10158,35.22638900000001,-112.488611,2001,1
6285,33.0,-116.0,2001,1
6280,32.995555,-116.659167,2001,1
10120,35.213889,-82.54722199999998,2001,1
17391,40.456389,-106.877778,2001,1
17405,40.467778,-86.94666600000002,2001,1
17987,40.801111,-82.488333,2001,1
8945,34.508889,-112.679723,2001,1
17852,40.751389,-111.721667,2001,1
5909,32.750278,-97.675834,2001,1
13322,37.861667,-120.177778,2001,1
5917,32.758056,-98.089166,2001,1
5918,32.759722,-105.807778,2001,1
10085,35.197222,-116.078056,2001,1
17962,40.795,-74.1,2001,1
11387,36.13,-86.653889,2001,1
1640,26.247222,-80.111111,2001,1
1858,26.785833,-80.693333,2001,1
5939,32.781667,-98.060278,2001,1
6252,32.980556,-112.239722,2001,1
5950,32.79,-88.928611,2001,1
17913,40.775,-107.369445,2001,1
6228,32.965833,-82.836389,2001,1
24692,47.672778,26.360833000000003,2001,1
11199,36.003611,-75.66583299999998,2001,1
10623,35.60583300000001,-100.960833,2001,1
1456,25.933889,-80.12,2001,1
25690,58.18833299999999,-157.381111,2001,1
13740,38.2,-122.266667,2001,1
16071,39.646944,-83.854722,2001,1
7137,33.527223,-112.295277,2001,1
13763,38.21527800000001,-108.218889,2001,1
939,18.439444,-66.001944,2001,1
25747,58.676945,-156.64916599999995,2001,2
7122,33.525,-101.783333,2001,1
8562,34.256944,-111.489444,2001,1
15993,39.578056,-104.85,2001,1
8554,34.255556,-101.601389,2001,1
906,18.2625,-65.825278,2001,1
13780,38.226667,-85.663333,2001,1
7219,33.576111,-117.128056,2001,1
25796,59.066667,-135.783333,2001,1
7225,33.583333,-111.666667,2001,1
914,18.313056,-65.304167,2001,1
7227,33.585,-118.417223,2001,1
7111,33.519445000000005,-84.119167,2001,1
25645,57.566667,-157.566667,2001,1
16274,39.762222,-104.579167,2001,1
25587,55.86666700000001,-92.066667,2001,1
7026,33.460278,-111.728334,2001,1
25591,55.988889,8.402778,2001,1
1061,20.083333,-155.333333,2001,1
25596,56.216667,-160.066667,2001,1
25597,56.333333,-132.5,2001,1
8589,34.259722,-116.873611,2001,1
16246,39.746666,-104.25,2001,1
25606,56.769445,-132.053333,2001,1
13690,38.15,-121.0,2001,1
25611,56.908333,-158.683333,2001,1
16230,39.734722,-121.850278,2001,1
25616,56.959444,-158.631945,2001,1
1023,19.640555,-152.034722,2001,1
16150,39.679167,-83.87055600000002,2001,1
25605,56.75,-132.933333,2001,1
8547,34.250833,-83.83805500000003,2001,1
15932,39.566667,-104.842777,2001,1
15910,39.550833,-104.505556,2001,1
25931,59.843611,-156.4625,2001,1
8528,34.241389,-117.539722,2001,1
7325,33.636389,-95.450556,2001,1
25948,59.93305600000001,-164.03055600000005,2001,1
15797,39.488333,-86.32472299999998,2001,1
7327,33.636666,-95.450556,2001,2
25956,59.95,-162.866667,2001,1
15804,39.493889,-101.301389,2001,1
25958,59.965833,-162.866667,2001,1
7337,33.6375,-91.858333,2001,1
25968,60.0,-156.715556,2001,1
25972,60.01666700000001,-148.666667,2001,1
15783,39.483333,-123.783333,2001,1
25978,60.033333,-144.466667,2001,1
7360,33.65,-115.7,2001,1
13824,38.257778,-122.605278,2001,1
25960,59.966667,-154.843889,2001,1
10399,35.416945,-80.705278,2001,1
7317,33.6325,-83.84944399999998,2001,1
25900,59.700278,-156.65,2001,1
25816,59.183333,-138.433333,2001,2
10388,35.405,-93.059722,2001,1
25817,59.189722,-138.44305500000002,2001,1
877,18.016667,-67.0,2001,1
874,18.0075,-66.06666700000001,2001,1
869,17.996389,-66.553889,2001,1
25828,59.21916700000001,-135.304167,2001,1
861,17.95,-100.916667,2001,1
13786,38.228056,-122.433333,2001,1
857,17.904444,-62.843611,2001,1
25862,59.45,-135.3,2001,1
25866,59.466667,-136.166667,2001,1
10973,35.874445,-78.747222,2001,1
7300,33.626945,-111.9,2001,1
25889,59.645555,-151.476667,2001,1
834,15.585,-99.446389,2001,1
