Country,Injuries,TotalFatalInjuries,TotalUninjured,labels
Afghanistan,139.0,128.0,211.0,2
Algeria,112.0,111.0,0.0,3
American Samoa,41.0,6.0,184.0,3
Angola,29.0,27.0,102.0,3
Anguilla,0.0,0.0,1.0,9
Antarctica,4.0,0.0,10.0,2
Antigua And Barbuda,0.0,0.0,176.0,4
Argentina,296.0,238.0,3628.0,3
Aruba,1.0,0.0,159.0,3
Australia,336.0,252.0,1671.0,3
Austria,99.0,53.0,496.0,10
Bahamas,330.0,180.0,1178.0,9
Bahrain,143.0,143.0,11.0,3
Bangladesh,6.0,0.0,216.0,3
Barbados,5.0,5.0,8.0,1
Belarus,10.0,10.0,0.0,1
Belgium,20.0,14.0,805.0,3
Belize,29.0,21.0,42.0,1
Benin,166.0,141.0,0.0,5
Bermuda,42.0,0.0,105.0,2
Bolivia,232.0,137.0,433.0,3
Bosnia And Herzegovina,10.0,10.0,0.0,1
Botswana,19.0,10.0,0.0,1
Brazil,1289.0,1142.0,2131.0,6
British Virgin Islands,2.0,1.0,43.0,9
Bulgaria,1.0,1.0,2.0,1
Burma,11.0,0.0,62.0,3
Cambodia,2.0,2.0,0.0,8
Cameroon,191.0,186.0,0.0,0
Canada,1485.0,858.0,2837.0,3
Cayman Islands,14.0,2.0,124.0,1
Central African Republic,27.0,25.0,0.0,3
Chile,143.0,92.0,137.0,10
China,492.0,176.0,1544.0,3
Colombia,893.0,663.0,640.0,6
Comoros,153.0,152.0,0.0,5
Congo,280.0,161.0,121.0,9
Costa Rica,132.0,58.0,357.0,10
Cote D'ivoire,186.0,176.0,0.0,1
Croatia,40.0,39.0,0.0,6
Cuba,130.0,120.0,255.0,3
Cyprus,0.0,0.0,402.0,4
Czech Republic,11.0,11.0,3.0,1
Denmark,13.0,11.0,822.0,3
Dominica,15.0,15.0,14.0,1
Dominican Republic,331.0,265.0,464.0,6
Ecuador,339.0,118.0,504.0,6
Egypt,296.0,296.0,327.0,3
El Salvador,92.0,92.0,170.0,1
Eritrea,1.0,0.0,136.0,4
Estonia,22.0,16.0,0.0,10
Ethiopia,173.0,127.0,7.0,3
Federated States Of Micronesia,17.0,2.0,39.0,2
Fiji,5.0,4.0,23.0,3
Finland,26.0,17.0,76.0,3
France,876.0,785.0,2899.0,3
French Guiana,6.0,3.0,0.0,6
French Polynesia,20.0,20.0,139.0,2
Gabon,5.0,5.0,0.0,1
Gambia,11.0,8.0,0.0,1
Germany,374.0,323.0,1806.0,3
Ghana,5.0,0.0,28.0,1
Gibraltar,0.0,0.0,163.0,4
Greece,145.0,133.0,491.0,3
Greenland,10.0,8.0,29.0,1
Guadeloupe,28.0,21.0,7.0,3
Guatemala,305.0,199.0,281.0,1
Guinea,6.0,0.0,90.0,10
Guyana,46.0,13.0,391.0,2
Haiti,85.0,57.0,251.0,3
Honduras,205.0,170.0,254.0,1
Hong Kong,1.0,1.0,26.0,3
Hungary,17.0,15.0,25.0,3
